dataname,annotationdir,audiodir,audioext,performer,type,language,sex,groupid,blinding
Adam_Tierney_English_Traditional_SimpleGifts_20230129_desc,./data/Stage 2 Annotation/,G:\Datasets\Song-Speech\Audio recordings\,wav,Adam Tierney,desc,English,M,1,FALSE
Adam_Tierney_English_Traditional_SimpleGifts_20230129_inst,./data/Stage 2 Annotation/,G:\Datasets\Song-Speech\Audio recordings\,wav,Adam Tierney,inst,English,M,1,FALSE
Adam_Tierney_English_Traditional_SimpleGifts_20230129_recit,./data/Stage 2 Annotation/,G:\Datasets\Song-Speech\Audio recordings\,wav,Adam Tierney,recit,English,M,1,FALSE
Adam_Tierney_English_Traditional_SimpleGifts_20230129_song,./data/Stage 2 Annotation/,G:\Datasets\Song-Speech\Audio recordings\,wav,Adam Tierney,song,English,M,1,FALSE
Christina_derNederlanden_English_Traditional_SleepNowRestNow_20221022_desc,./data/Stage 2 Annotation/,G:\Datasets\Song-Speech\Audio recordings\,wav,Christina derNederlanden,desc,English,F,5,TRUE
Christina_derNederlanden_English_Traditional_SleepNowRestNow_20221022_inst,./data/Stage 2 Annotation/,G:\Datasets\Song-Speech\Audio recordings\,wav,Christina derNederlanden,inst,English,F,5,TRUE
Christina_derNederlanden_English_Traditional_SleepNowRestNow_20221022_recit,./data/Stage 2 Annotation/,G:\Datasets\Song-Speech\Audio recordings\,wav,Christina derNederlanden,recit,English,F,5,TRUE
Christina_derNederlanden_English_Traditional_SleepNowRestNow_20221022_song,./data/Stage 2 Annotation/,G:\Datasets\Song-Speech\Audio recordings\,wav,Christina derNederlanden,song,English,F,5,TRUE
Fang_Liu_Mandarin_Traditional_Farewell_20220218_desc,./data/Stage 2 Annotation/,G:\Datasets\Song-Speech\Audio recordings\,mov,Fang Liu,desc,Mandarin,F,11,TRUE
Fang_Liu_Mandarin_Traditional_Farewell_20220218_recit,./data/Stage 2 Annotation/,G:\Datasets\Song-Speech\Audio recordings\,mov,Fang Liu,recit,Mandarin,F,11,TRUE
Fang_Liu_Mandarin_Traditional_Farewell_20220218_song,./data/Stage 2 Annotation/,G:\Datasets\Song-Speech\Audio recordings\,mov,Fang Liu,song,Mandarin,F,11,TRUE
Fang_Liu_Mandarin_Traditional_Farewell_20230209_inst,./data/Stage 2 Annotation/,G:\Datasets\Song-Speech\Audio recordings\,wav,Fang Liu,inst,Mandarin,F,11,FALSE
Ignacio_Soto_Spanish_Traditional_El Lobo Chilote_20221130_desc,./data/Stage 2 Annotation/,G:\Datasets\Song-Speech\Audio recordings\,wav,Ignacio Soto,desc,Spanish,M,16,FALSE
Ignacio_Soto_Spanish_Traditional_El Lobo Chilote_20221130_inst,./data/Stage 2 Annotation/,G:\Datasets\Song-Speech\Audio recordings\,wav,Ignacio Soto,inst,Spanish,M,16,FALSE
Ignacio_Soto_Spanish_Traditional_El Lobo Chilote_20221130_recit,./data/Stage 2 Annotation/,G:\Datasets\Song-Speech\Audio recordings\,wav,Ignacio Soto,recit,Spanish,M,16,FALSE
Ignacio_Soto_Spanish_Traditional_El Lobo Chilote_20221130_song,./data/Stage 2 Annotation/,G:\Datasets\Song-Speech\Audio recordings\,wav,Ignacio Soto,song,Spanish,M,16,FALSE
Javier_SilvaZurita_Chilean_Traditional_Song_20221009_desc,./data/Stage 2 Annotation/,G:\Datasets\Song-Speech\Audio recordings\,wav,Javier SilvaZurita,desc,Chilean,M,18,TRUE
Javier_SilvaZurita_Chilean_Traditional_Song_20221009_inst,./data/Stage 2 Annotation/,G:\Datasets\Song-Speech\Audio recordings\,wav,Javier SilvaZurita,inst,Chilean,M,18,TRUE
Javier_SilvaZurita_Chilean_Traditional_Song_20221009_recit,./data/Stage 2 Annotation/,G:\Datasets\Song-Speech\Audio recordings\,wav,Javier SilvaZurita,recit,Chilean,M,18,TRUE
Javier_SilvaZurita_Chilean_Traditional_Song_20221009_song,./data/Stage 2 Annotation/,G:\Datasets\Song-Speech\Audio recordings\,wav,Javier SilvaZurita,song,Chilean,M,18,TRUE
John_McBride_English_Traditional_Arthur McBride_20220209_desc,./data/Stage 2 Annotation/,G:\Datasets\Song-Speech\Audio recordings\,wav,John McBride,desc,English,M,19,TRUE
John_McBride_English_Traditional_Arthur McBride_20220209_inst,./data/Stage 2 Annotation/,G:\Datasets\Song-Speech\Audio recordings\,wav,John McBride,inst,English,M,19,TRUE
John_McBride_English_Traditional_Arthur McBride_20220209_recit,./data/Stage 2 Annotation/,G:\Datasets\Song-Speech\Audio recordings\,wav,John McBride,recit,English,M,19,TRUE
John_McBride_English_Traditional_Arthur McBride_20220209_song,./data/Stage 2 Annotation/,G:\Datasets\Song-Speech\Audio recordings\,wav,John McBride,song,English,M,19,TRUE
Juan_S-Gómez-Cañón_Spanish_Traditional_Unknown_20221003_recit,./data/Stage 2 Annotation/,G:\Datasets\Song-Speech\Audio recordings\,wav,Juan S. Gómez,recit,Spanish,M,62,TRUE
Juan_S-Gómez-Cañón_Spanish_Traditional_Unknown_20221003_song,./data/Stage 2 Annotation/,G:\Datasets\Song-Speech\Audio recordings\,wav,Juan S. Gómez,song,Spanish,M,62,TRUE
